cats	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_eng	nt_idn	nt_pos	nt_comment	nt_pc	nt_tapah	nt_lekon	nt_simalur	Concepticon_Gloss	Concepticon_ID	concept_url
the Mentawai (Pagai & Sipora) list (no date)	131	laiket	2	dronken	drunk	mabuk	-	474	367	FALSE			mapoeing mata				= dizzy					DRUNK	1463	https://concepticon.clld.org/parameters/1463
the Mentawai (Pagai & Sipora) list (no date)	132	maônggou	NA	dorstig	thirsty	haus	736	754	110	FALSE												THIRSTY	847	https://concepticon.clld.org/parameters/847
the Mentawai (Pagai & Sipora) list (no date)	133	maektek	NA	verzadigd	satisfied	kenyang, puas	735	753	111	FALSE												FULL	1429	https://concepticon.clld.org/parameters/1429
the Mentawai (Pagai & Sipora) list (no date)	134	maektek	NA	zat, verzadigd	replete, satisfied	kenyang, puas	-	119	-	FALSE												SATIATED	106	https://concepticon.clld.org/parameters/106
the Mentawai (Pagai & Sipora) list (no date)	137	goeng	NA	slikken	to swallow	telan	118	120	-	FALSE												SWALLOW	897	https://concepticon.clld.org/parameters/897
the Mentawai (Pagai & Sipora) list (no date)	138	merep	NA	slapen	to sleep	tidur	119	121	114	TRUE	sleep											SLEEP	1585	https://concepticon.clld.org/parameters/1585
the Mentawai (Pagai & Sipora) list (no date)	138	merem	NA	slapen	to sleep	tidur	119	121	114	TRUE	sleep											SLEEP	1585	https://concepticon.clld.org/parameters/1585
the Mentawai (Pagai & Sipora) list (no date)	139/140	pangamoek	NA	dromen, droom <unsp.>	dream	mimpi	120	122	-	FALSE												DREAMING OR DREAM	2455	https://concepticon.clld.org/parameters/2455
the Mentawai (Pagai & Sipora) list (no date)	144	moerio	NA	staan	to stand	berdiri	121	123	120	TRUE	stand											STAND	1442	https://concepticon.clld.org/parameters/1442
the Mentawai (Pagai & Sipora) list (no date)	145	moeënoeng	NA	lopen	to walk	berjalan	122	124	121	TRUE	walk											WALK	1443	https://concepticon.clld.org/parameters/1443
the Mentawai (Pagai & Sipora) list (no date)	146	moegaila	NA	liggen op de rug	to lie supine	telentang	124	126	123	FALSE												LIE (REST)	1411	https://concepticon.clld.org/parameters/1411
the Mentawai (Pagai & Sipora) list (no date)	147	moeloekke	NA	liggen op de buik	to lie prone	tiarap	125	127	124	FALSE												LIE DOWN	215	https://concepticon.clld.org/parameters/215
the Mentawai (Pagai & Sipora) list (no date)	148	toeboedjoek	NA	liggen (in het algemeen)	to lie	berbaring	123	125	122	TRUE	lie											LIE DOWN	215	https://concepticon.clld.org/parameters/215
the Mentawai (Pagai & Sipora) list (no date)	149	moekoeddoe	NA	zitten (op een stoel, bank etc.)	to sit (on a chair)	duduk (di atas kursi)	126	128	125	TRUE	sit											SIT DOWN	1649	https://concepticon.clld.org/parameters/1649
the Mentawai (Pagai & Sipora) list (no date)	151	moerekkoek	NA	zitten (met de beide benen op zij en gebogen)	to sit (with the knees bent to one side)	bertimpuh	128	130	127	TRUE	sit											NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	152	moerêggeu	NA	hurken	to squat	berjongkok	129	131	128	FALSE												SQUAT	3163	https://concepticon.clld.org/parameters/3163
the Mentawai (Pagai & Sipora) list (no date)	153	moelalak	NA	zwemmen	to swim	berenang	131	133	129	TRUE	swim, to											SWIM	1439	https://concepticon.clld.org/parameters/1439
the Mentawai (Pagai & Sipora) list (no date)	154	moeraû	NA	baden <intr.>	to take a bath	mandi	169	173	130	FALSE												WASH	1453	https://concepticon.clld.org/parameters/1453
the Mentawai (Pagai & Sipora) list (no date)	158	nganga	NA	stem	voice	suara	135	137	133	FALSE												VOICE	1363	https://concepticon.clld.org/parameters/1363
the Mentawai (Pagai & Sipora) list (no date)	159	madjorok	NA	schor(hees)	hoarse	parau	-	716	134	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	160	moegerei	NA	schreeuwen	to shout	berteriak	136	138	-	FALSE												SHOUT	715	https://concepticon.clld.org/parameters/715
the Mentawai (Pagai & Sipora) list (no date)	161	moega'ga'	NA	lachen	to laugh	tertawa	137	139	135	TRUE	laugh											LAUGH	1355	https://concepticon.clld.org/parameters/1355
the Mentawai (Pagai & Sipora) list (no date)	163	moesoû	NA	schreien <intr.>	to weep	menangis	138	140	137	TRUE	cry											CRY	1839	https://concepticon.clld.org/parameters/1839
the Mentawai (Pagai & Sipora) list (no date)	165	tsimin	NA	glimlachen	to smile	tersenyum	139	141	139	FALSE												SMILE	1451	https://concepticon.clld.org/parameters/1451
the Mentawai (Pagai & Sipora) list (no date)	166	moehoi	NA	zuchten	to sigh	berkeluh kesah, mengeluh	140	142	140	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
